newData1,newData2,newData3,newData4,newData5,newData6
1,1,4,0.000186370199862496,0,1
1,2,4,0.000186370199846383,0,1
1,3,4,1.06970071912654e-08,0,0
1,4,4,5.0341208819808e-09,0,0
1,5,4,3.14382712906849e-10,0,0
1,6,4,5.034120882643e-09,0,0
1,7,4,5.03412087923097e-09,0,0
1,8,4,3.14382712906849e-10,0,0
1,9,4,5.34850359571554e-09,0,0
1,10,4,5.03412087923097e-09,0,0
1,11,4,5.34850359571554e-09,0,0
1,12,4,5.03412087923097e-09,0,0
1,13,4,6.28765426476436e-10,0,0
1,14,4,-3.39917853137717e-08,0,0
1,15,4,3.14382713081665e-10,0,0
1,16,4,5.03412088283135e-09,0,0
1,17,4,3.14382713041718e-10,0,0
1,18,4,3.14382713900959e-10,0,0
1,19,4,3.14382713072289e-10,0,0
1,20,4,6.28765426144597e-10,0,0
1,21,4,3.14382713072517e-10,0,0
1,22,4,3.14382712906604e-10,0,0
1,23,4,5.03412088263775e-09,0,0
1,24,4,5.0341208826426e-09,0,0
1,25,4,5.03412088263816e-09,0,0
1,26,4,5.66288630862239e-09,0,0
1,27,4,3.14382713238218e-10,0,0
1,28,4,3.14382713238218e-10,0,0
1,29,4,3.14382713072534e-10,0,0
1,30,4,3.14382713072534e-10,0,0
1,31,4,5.034120882643e-09,0,0
1,32,4,3.14382713072533e-10,0,0
1,33,4,3.14382714066644e-10,0,0
1,34,4,3.14382713072533e-10,0,0
1,35,4,5.03412088263816e-09,0,0
1,36,4,3.14382713569589e-10,0,0
1,37,4,3.14382713569589e-10,0,0
1,38,4,3.14382713569589e-10,0,0
1,39,4,3.14382713569589e-10,0,0
1,40,4,3.14382714066644e-10,0,0
1,41,4,3.14382714066644e-10,0,0
1,42,4,3.14382714066644e-10,0,0
1,43,4,2.78804342677138e-07,0,0
1,44,4,1.03826244784521e-08,0,0
1,45,4,1.00682417619401e-08,0,0
1,46,4,5.03412090993838e-09,0,0
1,47,4,5.03412087932777e-09,0,0
1,48,4,3.14382713403904e-10,0,0
1,49,4,5.03412088332137e-09,0,0
1,50,4,3.14382713072534e-10,0,0
1,51,4,5.03412087923097e-09,0,0
1,52,4,3.14382713072534e-10,0,0
1,53,4,3.14382713072534e-10,0,0
1,54,4,6.28765425986068e-10,0,0
1,55,4,5.034120882643e-09,0,0
1,56,4,3.14382713108439e-10,0,0
1,57,4,3.1438271318048e-10,0,0
1,58,4,5.034120882643e-09,0,0
1,59,4,1.00682417652504e-08,0,0
1,60,4,-3.39917853137228e-08,0,0
1,61,4,5.0341208860509e-09,0,0
1,62,4,3.14382713072534e-10,0,0
1,63,4,3.14382713071097e-10,0,0
1,64,4,3.14382713072534e-10,0,0
1,65,4,3.14382712906847e-10,0,0
1,66,4,3.14382713072534e-10,0,0
1,67,4,5.03412087932779e-09,0,0
1,68,4,5.03412088632862e-09,0,0
1,69,4,5.034120882643e-09,0,0
1,70,4,5.3485035954615e-09,0,0
1,71,4,5.03412088457574e-09,0,0
1,72,4,3.14382712911537e-10,0,0
1,73,4,5.0341208848719e-09,0,0
1,74,4,6.28765426177903e-10,0,0
1,75,4,3.14382713072534e-10,0,0
1,76,4,5.03412088604978e-09,0,0
1,77,4,1.00682417619708e-08,0,0
1,78,4,3.14382713261852e-10,0,0
1,79,4,5.03412088332061e-09,0,0
1,80,4,3.14382713242907e-10,0,0
1,81,4,5.03412088338356e-09,0,0
1,82,4,3.14382713071015e-10,0,0
1,83,4,5.034120882643e-09,0,0
1,84,4,5.034120882643e-09,0,0
1,85,4,0.000186370199833917,0,0
1,86,4,1.57311280708816e-08,0,0
1,87,4,1.51023626514374e-08,0,0
1,88,4,3.14382713251057e-10,0,0
1,89,4,3.14382713238039e-10,0,0
1,90,4,3.14382713072533e-10,0,0
1,91,4,-1.53800679353527e-09,0,0
1,92,4,5.03412088263777e-09,0,0
1,93,4,5.03412097761439e-09,0,0
1,94,4,3.14382713072534e-10,0,0
1,95,4,3.14382713166136e-10,0,0
1,96,4,5.03412087952291e-09,0,0
